spygen_code;pool;replicates;date
SPY180606;no;SPY180606/SPY180617;2018-03-13
SPY180607;no;SPY180607/SPY180616;2018-03-13
SPY180608;no;SPY180608/SPY180626;2018-03-14
SPY180609;no;SPY180609/SPY180618;2018-03-19
SPY180610;no;SPY180610/SPY180620;2018-03-19
SPY180611;no;SPY180611/SPY180627;2018-03-14
SPY180613;no;SPY180613/SPY180621;2018-03-14
SPY180614;no;SPY180614/SPY180615;2018-03-19
SPY180615;no;SPY180614/SPY180615;2018-03-19
SPY180616;no;SPY180607/SPY180616;2018-03-13
SPY180617;no;SPY180606/SPY180617;2018-03-13
SPY180618;no;SPY180609/SPY180618;2018-03-19
SPY180619;no;SPY180619/SPY180623;2018-03-19
SPY180620;no;SPY180610/SPY180620;2018-03-19
SPY180621;no;SPY180613/SPY180621;2018-03-14
SPY180622;no;SPY180622/SPY201155/SPY201156/SPY201189;2020-07-16
SPY180623;no;SPY180619/SPY180623;2018-03-19
SPY180624;no;SPY180624/SPY181146/SPY181151/SPY181155;2018-05-19
SPY180625;no;SPY180625/SPY181700/SPY181701/SPY181708;2020-05-28
SPY180626;no;SPY180608/SPY180626;2018-03-14
SPY180627;no;SPY180611/SPY180627;2018-03-14
SPY180628;no;SPY180628/SPY180632;2018-03-16
SPY180629;no;SPY180629/SPY181145/SPY190597/SPY192300;2020-05-28
SPY180630;no;SPY180630/SPY180635/SPY181822/SPY181823;2018-06-21
SPY180631;no;SPY180631/SPY180633;2018-03-16
SPY180632;no;SPY180628/SPY180632;2018-03-16
SPY180633;no;SPY180631/SPY180633;2018-03-16
SPY180634;no;SPY180634/SPY180934/SPY181811/SPY181820;2018-06-21
SPY180635;no;SPY180630/SPY180635/SPY181822/SPY181823;2018-06-21
SPY180765;no;SPY180765/SPY180785/SPY181511/SPY181884/SPY181890/SPY181893/SPY181894/SPY181910;2019-03-20
SPY180785;no;SPY180785/SPY181511/SPY181890/SPY181893;2019-03-20
SPY180926;no;SPY180926/SPY180931;2018-04-05
SPY180927;no;SPY180927/SPY180930;2018-04-05
SPY180928;no;SPY180928/SPY180929;2018-04-05
SPY180929;no;SPY180928/SPY180929;2018-04-05
SPY180930;no;SPY180927/SPY180930;2018-04-05
SPY180931;no;SPY180926/SPY180931;2018-04-05
SPY180932;no;SPY180932/SPY181152/SPY181154/SPY181158;2018-05-20
SPY180933;no;SPY180933/SPY180935;2018-04-05
SPY180934;no;SPY180634/SPY180934/SPY181811/SPY181820;2018-06-21
SPY180935;no;SPY180933/SPY180935;2018-04-05
SPY180936;no;SPY180936/SPY180937;2018-04-06
SPY180937;no;SPY180936/SPY180937;2018-04-06
SPY181145;no;SPY180629/SPY181145/SPY190597/SPY192300;2020-05-28
SPY181146;no;SPY180624/SPY181146/SPY181151/SPY181155;2018-05-19
SPY181147;no;SPY181147/SPY181149/SPY181150/SPY181160;2018-05-19
