"code_spygen";"Acanthocybium solandri";"Acanthurus coeruleus";"Aetomylaeus bovinus";"Aidablennius sphynx";"Alopias superciliosus";"Alopias vulpinus";"Alosa fallax";"Anguilla anguilla";"Anthias anthias";"Aphia minuta";"Apogon imberbis";"Arctozenus risso";"Argentina sphyraena";"Argyropelecus hemigymnus";"Ariosoma balearicum";"Arnoglossus imperialis";"Arnoglossus laterna";"Arnoglossus thori";"Atherina boyeri";"Aulopus filamentosus";"Balistes capriscus";"Belone belone";"Benthosema glaciale";"Blennius ocellaris";"Boops boops";"Borostomias antarcticus";"Bothus podas";"Brama brama";"Buenia affinis";"Buglossidium luteum";"Callionymus maculatus";"Capros aper";"Carapus acus";"Centrolophus niger";"Cepola macrophthalma";"Ceratoscopelus maderensis";"Cetorhinus maximus";"Chauliodus sloani";"Chelidonichthys cuculus";"Chelon auratus";"Chelon labrosus";"Chelon ramada";"Chlorophthalmus agassizi";"Chromis chromis";"Citharus linguatula";"Coelorinchus caelorhincus";"Conger conger";"Corcyrogobius liechtensteini";"Coris julis";"Coryphaena hippurus";"Crystallogobius linearis";"Ctenolabrus rupestris";"Cynoglossus senegalensis";"Cyprinus carpio";"Dactylopterus volitans";"Dalophis imberbis";"Dasyatis pastinaca";"Dasyatis tortonesei";"Deltentosteus collonianus";"Deltentosteus quadrimaculatus";"Diaphus holti";"Diaphus rafinesquii";"Dicentrarchus labrax";"Diplodus annularis";"Diplodus cervinus";"Diplodus puntazzo";"Diplodus sargus";"Diplodus vulgaris";"Dipturus oxyrinchus";"Echelus myrus";"Echiichthys vipera";"Enchelycore anatina";"Engraulis encrasicolus";"Epigonus constanciae";"Epigonus denticulatus";"Epinephelus aeneus";"Epinephelus costae";"Epinephelus malabaricus";"Epinephelus marginatus";"Etmopterus spinax";"Euthynnus alletteratus";"Facciolella oxyrhyncha";"Gadiculus argenteus";"Gaidropsarus mediterraneus";"Galeorhinus galeus";"Galeus melastomus";"Gammogobius steinitzi";"Gobius ater";"Gobius bucchichi";"Gobius cobitis";"Gobius cruentatus";"Gobius geniporus";"Gobius niger";"Gobius paganellus";"Gobius xanthocephalus";"Gymnammodytes semisquamatus";"Helicolenus dactylopterus";"Hexanchus griseus";"Hippocampus guttulatus";"Hippocampus hippocampus";"Hoplostethus mediterraneus";"Hymenocephalus italicus";"Isurus oxyrinchus";"Katsuwonus pelamis";"Knipowitschia caucasica";"Labrus mixtus";"Lampanyctus crocodilus";"Lampanyctus pusillus";"Lebetus guilleti";"Lepadogaster candolii";"Lepadogaster lepadogaster";"Lepidopus caudatus";"Lepidorhombus boscii";"Lepidorhombus whiffiagonis";"Lesueurigobius friesii";"Lesueurigobius suerii";"Leucoraja naevus";"Lipophrys trigloides";"Lithognathus mormyrus";"Lobianchia dofleini";"Lophius budegassa";"Lophius piscatorius";"Macroramphosus scolopax";"Maurolicus muelleri";"Merlangius merlangus";"Merluccius merluccius";"Microlipophrys canevae";"Micromesistius poutassou";"Millerigobius macrocephalus";"Mobula mobular";"Mola mola";"Mugil capurrii";"Mugil cephalus";"Mullus barbatus";"Mullus surmuletus";"Muraena helena";"Mustelus mustelus";"Mycteroperca rubra";"Myctophum punctatum";"Myliobatis aquila";"Naucrates ductor";"Nemichthys scolopaceus";"Nerophis maculatus";"Nerophis ophidion";"Notoscopelus elongatus";"Oblada melanura";"Odondebuenia balearica";"Oedalechilus labeo";"Ophichthus rufus";"Pagellus acarne";"Pagellus bogaraveo";"Pagellus erythrinus";"Parablennius gattorugine";"Parablennius pilicornis";"Parablennius rouxi";"Pegusa lascaris";"Pegusa nasuta";"Peristedion cataphractum";"Pleuronectes platessa";"Polyprion americanus";"Pomadasys incisus";"Pomatomus saltatrix";"Pomatoschistus microps";"Pomatoschistus minutus";"Prionace glauca";"Psenes pellucidus";"Pseudaphya ferreri";"Pteroplatytrygon violacea";"Raja brachyura";"Raja miraletus";"Raja radula";"Raja undulata";"Rostroraja alba";"Salaria pavo";"Salmo salar";"Sarda sarda";"Sardina pilchardus";"Sardinella aurita";"Sarpa salpa";"Scartella cristata";"Schedophilus medusophagus";"Schedophilus ovalis";"Sciaena umbra";"Scomber colias";"Scomber scombrus";"Scophthalmus maximus";"Scophthalmus rhombus";"Scorpaena elongata";"Scorpaena notata";"Scorpaena porcus";"Scorpaena scrofa";"Scyliorhinus canicula";"Scyliorhinus stellaris";"Seriola dumerili";"Seriola lalandi";"Serranus cabrilla";"Serranus hepatus";"Serranus scriba";"Silhouettea aegyptia";"Solea senegalensis";"Solea solea";"Sparisoma cretense";"Sparus aurata";"Speleogobius trigloides";"Sphyraena viridensis";"Spicara maena";"Spicara smaris";"Spondyliosoma cantharus";"Sprattus sprattus";"Squalus acanthias";"Squalus blainville";"Squatina squatina";"Symphodus bailloni";"Symphodus melanocercus";"Symphodus melops";"Symphodus ocellatus";"Symphodus tinca";"Synchiropus phaeton";"Syngnathus acus";"Synodus saurus";"Tetragonurus cuvieri";"Thalassoma pavo";"Thunnus thynnus";"Torpedo marmorata";"Trachinotus ovatus";"Trachinus araneus";"Trachinus draco";"Trachinus radiatus";"Trachipterus trachypterus";"Trachurus picturatus";"Trichiurus lepturus";"Trigla lyra";"Tripterygion delaisi";"Tripterygion melanurum";"Tripterygion tripteronotum";"Umbrina cirrosa";"Uranoscopus scaber";"Xiphias gladius";"Xyrichtys novacula";"Zebrus zebrus";"Zeus faber";"Zosterisessor ophiocephalus"
"SPY180624";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0
"SPY181146";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0
"SPY181147";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0
"SPY181148";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0
"SPY181149";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0
"SPY181150";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0
"SPY181151";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0
"SPY181155";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
"SPY181156";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0
"SPY181157";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
