"spygen_code","pool","replicates","date","country","region","site","subsite","subsite_andromede","component","habitat","protection","mpa_name","mpa_dist","latitude_start_DD","longitude_start_DD","latitude_end_DD","longitude_end_DD","depth_seafloor","depth_sampling","method","time_start","duration","filter","estimated_volume","flow_sensor_volume","project","lockdown","BiodivMed2023","Tele01","Pleo","Mamm01","Vert01","X16s_Metazoa","Bact02","Euka02","comments","Elevation_waypoint_start","Time_waypoint_start","Latitude_waypoint_start","Longitude_waypoint_start","Name_waypoint_start","distance_start","Elevation_waypoint_end","Time_waypoint_end","Latitude_waypoint_end","Longitude_waypoint_end","Name_waypoint_end","distance_end"
"SPY180622","no","SPY180622/SPY201155/SPY201156/SPY201189",2020-07-16,"Spain",NA,"punta_de_locell",NA,NA,"coastal",NA,NA,NA,NA,42.43481,3.175645,42.43424,3.175286,"15",1,"surface_transect","11:36","30",0.2,30,NA,"eRef",0,0,1,0,0,0,0,0,0,NA,-2.810176,2020-07-16 09:36:11,42.434809,3.175645,"177",0.111081733703908,-3.38858,2020-07-16 10:06:03,42.434239,3.175286,"179",0.111081722589108
"SPY200455","no","SPY200455/SPY200460/SPY200470/SPY200484",2020-05-20,"Spain",NA,"punta_de_locell",NA,NA,"coastal",NA,NA,NA,NA,42.43477,3.175341,42.43387,3.175246,"11.5",1,"surface_transect","11:23","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-2.364508,2020-05-20 10:23:07,42.434767,3.175341,"150",0.333245197492165,-4.169872,2020-05-20 10:53:17,42.433867,3.175246,"152",0.333245145706864
"SPY200456","no","SPY200456/SPY200465/SPY200468/SPY200474",2020-05-20,"France","Occitanie","banyuls","rederis",NA,"coastal",NA,NA,NA,NA,42.46163,3.161677,42.4625,3.160668,"7",1,"surface_transect","14:16","30",0.2,30,NA,"eRef",1,0,1,0,0,0,1,0,0,NA,-3.60032,2020-05-20 12:15:25,42.461633,3.161677,"153",0.333246765722034,-0.570298,2020-05-20 12:46:08,42.462502,3.160668,"155",0.222164544256539
"SPY200457","no","SPY200457/SPY200461/SPY200489/SPY200494",2020-05-27,"France","PACA","carry_le_rouet","resquiadou",NA,"coastal",NA,NA,NA,NA,43.347223,5.274436,43.355974,5.288195,"7",1,"surface_transect","8:17","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,1.020979,2020-05-27 06:17:03,43.347223,5.274436,"159",0,-0.309794,2020-05-27 06:47:27,43.355974,5.288195,"161",0
"SPY200460","no","SPY200455/SPY200460/SPY200470/SPY200484",2020-05-20,"Spain",NA,"punta_de_locell",NA,NA,"coastal",NA,NA,NA,NA,42.43501,3.175627,42.43482,3.17532,"13",1,"surface_transect","11:33","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,0.079651,2020-05-20 09:32:33,42.435015,3.175627,"147",0.555408687832367,-4.533432,2020-05-20 10:02:43,42.434815,3.17532,"149",0.555408669494329
"SPY200461","no","SPY200457/SPY200461/SPY200489/SPY200494",2020-05-27,"France","PACA","carry_le_rouet","resquiadou",NA,"coastal",NA,NA,NA,NA,43.347223,5.274436,43.355974,5.288195,"7",1,"surface_transect","8:17","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,1.020979,2020-05-27 06:17:03,43.347223,5.274436,"159",0,-0.309794,2020-05-27 06:47:27,43.355974,5.288195,"161",0
"SPY200462","no","SPY200462/SPY200472/SPY200476/SPY201154",2020-07-16,"France","Occitanie","banyuls","rederis",NA,"coastal",NA,NA,NA,NA,42.46159,3.16168,42.4623,3.161015,"9",1,"surface_transect","13:22","30",0.2,30,NA,"eRef",0,0,1,0,0,0,0,0,0,NA,-0.139232,2020-07-16 11:20:04,42.46159,3.16168,"180",0,-1.769835,2020-07-16 11:51:59,42.462296,3.161015,"182",0.444329074061769
"SPY200465","no","SPY200456/SPY200465/SPY200468/SPY200474",2020-05-20,"France","Occitanie","banyuls","rederis",NA,"coastal",NA,NA,NA,NA,42.46163,3.161677,42.4625,3.160668,"7",1,"surface_transect","14:16","30",0.2,30,NA,"eRef",1,0,1,0,0,0,1,0,0,NA,-3.60032,2020-05-20 12:15:25,42.461633,3.161677,"153",0.333246765722034,-0.570298,2020-05-20 12:46:08,42.462502,3.160668,"155",0.222164544256539
"SPY200466","no","SPY200466/SPY200467/SPY200477/SPY200483",2020-05-27,"France","PACA","carry_le_rouet","erevine",NA,"coastal",NA,NA,NA,NA,43.332473,5.243809,43.328706,5.227349,"12",1,"surface_transect","9:58","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-3.631291,2020-05-27 07:58:07,43.332473,5.243809,"164",0,-2.870691,2020-05-27 08:28:11,43.328706,5.227349,"165",0
"SPY200467","no","SPY200466/SPY200467/SPY200477/SPY200483",2020-05-27,"France","PACA","carry_le_rouet","erevine",NA,"coastal",NA,NA,NA,NA,43.33248,5.243678,43.328725,5.228423,"12",1,"surface_transect","10:46","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.584682,2020-05-27 08:46:21,43.33248,5.243678,"166",0,-3.585202,2020-05-27 09:16:38,43.328725,5.228423,"167",0
