"spygen_code","pool","replicates","date","country","region","site","subsite","subsite_andromede","component","habitat","protection","mpa_name","mpa_dist","latitude_start_DD","longitude_start_DD","latitude_end_DD","longitude_end_DD","depth_seafloor","depth_sampling","method","time_start","duration","filter","estimated_volume","flow_sensor_volume","project","lockdown","BiodivMed2023","Tele01","Pleo","Mamm01","Vert01","X16s_Metazoa","Bact02","Euka02","comments","Elevation_waypoint_start","Time_waypoint_start","Latitude_waypoint_start","Longitude_waypoint_start","Name_waypoint_start","distance_start","Elevation_waypoint_end","Time_waypoint_end","Latitude_waypoint_end","Longitude_waypoint_end","Name_waypoint_end","distance_end"
"SPY200458","no","SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493",2020-05-20,"France","PACA","embiez","embiez",NA,"coastal",NA,NA,NA,NA,43.073544,5.775593,43.077945,5.775914,"8",1,"surface_transect","11:01","29",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",223978.825758332,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",224150.647189674
"SPY200459","no","SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493",2020-05-20,"France","PACA","embiez","embiez",NA,"coastal",NA,NA,NA,NA,43.082224,5.766902,43.079137,5.765199,"12",1,"surface_transect","13:23","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",223595.213513166,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",223358.904078856
"SPY200463","no","SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493",2020-05-20,"France","PACA","embiez","embiez",NA,"coastal",NA,NA,NA,NA,43.073348,5.775575,43.081406,5.77629,"9",1,"surface_transect","10:08","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",223970.907529717,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",224296.014591356
"SPY200464","no","SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493",2020-05-20,"France","PACA","embiez","embiez",NA,"coastal",NA,NA,NA,NA,43.073348,5.775575,43.081406,5.77629,"9",1,"surface_transect","10:08","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",223970.907529717,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",224296.014591356
"SPY200485","no","SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493",2020-05-20,"France","PACA","embiez","embiez",NA,"coastal",NA,NA,NA,NA,43.082188,5.766803,43.07854,5.764676,"13",1,"surface_transect","14:14","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",223586.316925524,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",223298.214797577
"SPY200487","no","SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493",2020-05-20,"France","PACA","embiez","embiez",NA,"coastal",NA,NA,NA,NA,43.073544,5.775593,43.077945,5.775914,"8",1,"surface_transect","11:01","29",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",223978.825758332,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",224150.647189674
"SPY200488","no","SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493",2020-05-20,"France","PACA","embiez","embiez",NA,"coastal",NA,NA,NA,NA,43.082224,5.766902,43.079137,5.765199,"12",1,"surface_transect","13:23","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",223595.213513166,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",223358.904078856
"SPY200493","no","SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493",2020-05-20,"France","PACA","embiez","embiez",NA,"coastal",NA,NA,NA,NA,43.082188,5.766803,43.07854,5.764676,"13",1,"surface_transect","14:14","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",223586.316925524,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",223298.214797577
"SPY200788","no","SPY200788/SPY200794/SPY200799/SPY200803",2020-05-20,"France","PACA","cap_roux","cap_roux",NA,"coastal",NA,NA,NA,NA,43.4279917,6.88993167,43.4274067,6.88050167,NA,1,"surface_transect",NA,"30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",322231.076372654,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",321486.837445049
"SPY200794","no","SPY200788/SPY200794/SPY200799/SPY200803",2020-05-20,"France","PACA","cap_roux","cap_roux",NA,"coastal",NA,NA,NA,NA,43.4279917,6.88993167,43.4274067,6.88050167,NA,1,"surface_transect",NA,"30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",322231.076372654,-1.926208,2020-05-20 10:38:19,42.440108,3.177917,"151",321486.837445049
