"spygen_code","pool","replicates","date","country","region","site","subsite","subsite_andromede","component","habitat","protection","mpa_name","mpa_dist","latitude_start_DD","longitude_start_DD","latitude_end_DD","longitude_end_DD","depth_seafloor","depth_sampling","method","time_start","duration","filter","estimated_volume","flow_sensor_volume","project","lockdown","BiodivMed2023","Tele01","Pleo","Mamm01","Vert01","X16s_Metazoa","Bact02","Euka02","comments","Latitude_waypoint_start","Longitude_waypoint_start","Latitude_waypoint_end","Longitude_waypoint_end","Elevation","Time","Latitude","Longitude","extensions","Segment ID","distance_start","distance_end"
"SPY200455","no","SPY200455/SPY200460/SPY200470/SPY200484",2020-05-20,"Spain",NA,"punta_de_locell",NA,NA,"coastal",NA,NA,NA,NA,42.43477,3.175341,42.43387,3.175246,"11.5",1,"surface_transect","11:23","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,42.434767,3.175341,42.433867,3.175246,-5.57,2020-05-20 10:56:15,42.4368216377,3.1754222419,NA,1,228.330634041361,328.52653497144
"SPY200460","no","SPY200455/SPY200460/SPY200470/SPY200484",2020-05-20,"Spain",NA,"punta_de_locell",NA,NA,"coastal",NA,NA,NA,NA,42.43501,3.175627,42.43482,3.17532,"13",1,"surface_transect","11:33","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,42.435015,3.175627,42.434815,3.17532,-5.57,2020-05-20 10:56:15,42.4368216377,3.1754222419,NA,1,201.390469924734,223.059535887637
"SPY200470","no","SPY200455/SPY200460/SPY200470/SPY200484",2020-05-20,"Spain",NA,"punta_de_locell",NA,NA,"coastal",NA,NA,NA,NA,42.43501,3.175627,42.43482,3.17532,"13",1,"surface_transect","11:33","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,42.435015,3.175627,42.434815,3.17532,-5.57,2020-05-20 10:56:15,42.4368216377,3.1754222419,NA,1,201.390469924734,223.059535887637
"SPY200484","no","SPY200455/SPY200460/SPY200470/SPY200484",2020-05-20,"Spain",NA,"punta_de_locell",NA,NA,"coastal",NA,NA,NA,NA,42.43477,3.175341,42.43387,3.175246,"11.5",1,"surface_transect","11:23","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,42.434767,3.175341,42.433867,3.175246,-5.57,2020-05-20 10:56:15,42.4368216377,3.1754222419,NA,1,228.330634041361,328.52653497144
"SPY232178","no","SPY232178/SPY2401106",2024-05-16,"France","Occitanie","leucate","nord_ile_aux_oiseaux",NA,"lagoon","lagoon",NA,NA,NA,42.860777,3.02224,42.862658,3.028826,"1.8",1,"surface_transect","9:45","30",0.2,NA,23.45,"BiodivMed_Occitanie",0,0,1,1,0,0,0,0,0,"7 min statique au début problème moteur",42.860777,3.02224,42.862658,3.028826,6.8,2024-05-16 12:58:46,42.5804444589,8.7240657024,NA,1,467980.246471442,467449.210203237
"SPY232186","no","SPY232186/SPY2401107",2024-05-16,"France","Occitanie","gruissan","gruissan",NA,"lagoon","lagoon",NA,NA,NA,43.116304,3.084828,43.116608,3.085688,"1.1",1,"surface_transect","15:42","30",0.2,NA,30.69,"BiodivMed_Occitanie",0,0,1,1,0,0,0,0,0,NA,43.116304,3.084828,43.116608,3.085688,6.8,2024-05-16 12:58:46,42.5804444589,8.7240657024,NA,1,464694.492151105,464628.01441367
"SPY232187","no","SPY232187/SPY2401111",2024-05-16,"France","Occitanie","la_palme","la_palme",NA,"lagoon","lagoon",NA,NA,NA,42.967127,3.001126,42.967552,3.000185,"1.3",1,"surface_transect","12:53","30",0.2,NA,7.36,"BiodivMed_Occitanie",0,0,1,1,0,0,0,0,0,NA,42.967127,3.001126,42.967552,3.000185,6.8,2024-05-16 12:58:46,42.5804444589,8.7240657024,NA,1,470235.41321175,470314.76997658
"SPY233348","no","SPY233348/SPY233355",2023-08-23,"France","Corse","cap_corse","tour_d'agnelo",NA,"coastal",NA,NA,NA,NA,43.009445,9.430059,43.011652,9.401813,"10",1,"surface_transect","11:39","30",0.2,30,NA,"ActNow",0,1,1,1,1,0,0,0,0,"spot à phoque moine dans les années 50",43.009445,9.430059,43.011652,9.401813,-0.54,2023-08-23 08:41:15,42.5351878814,3.0735263787,NA,1,522760.666362691,520478.122609828
"SPY233355","no","SPY233348/SPY233355",2023-08-23,"France","Corse","cap_corse","tour_d'agnelo",NA,"coastal",NA,NA,NA,NA,43.009445,9.430059,43.011652,9.401813,"10",1,"surface_transect","11:39","30",0.2,30,NA,"ActNow",0,1,1,1,1,0,0,0,0,"spot à phoque moine dans les années 50",43.009445,9.430059,43.011652,9.401813,-0.54,2023-08-23 08:41:15,42.5351878814,3.0735263787,NA,1,522760.666362691,520478.122609828
"SPY233361","no","SPY233361/SPY233363",2023-08-23,"France","Corse","centuri","pelagos_25_-_haut_fond_de_centuri",NA,"offshore",NA,NA,NA,NA,42.989377,9.290055,42.989329,9.29027,"35",1,"surface_transect","17:10","30",0.2,30,NA,"ActNow",0,1,1,1,1,0,0,0,0,NA,42.989377,9.290055,42.989329,9.29027,-0.54,2023-08-23 08:41:15,42.5351878814,3.0735263787,NA,1,511227.515659228,511244.686709151
