"spygen_code","pool","replicates","date","country","region","site","subsite","subsite_andromede","component","habitat","protection","mpa_name","mpa_dist","latitude_start_DD","longitude_start_DD","latitude_end_DD","longitude_end_DD","depth_seafloor","depth_sampling","method","time_start","duration","filter","estimated_volume","flow_sensor_volume","project","lockdown","BiodivMed2023","Tele01","Pleo","Mamm01","Vert01","X16s_Metazoa","Bact02","Euka02","comments","Latitude_waypoint_start","Longitude_waypoint_start","Latitude_waypoint_end","Longitude_waypoint_end","Elevation","Time","Latitude","Longitude","extensions","Segment ID","distance_start","distance_end"
"SPY214171","no","SPY214171/SPY214175",2024-09-03,"France","Corse","porto_vecchio","toro",NA,"coastal","meadow_rocks",NA,NA,NA,41.507228,9.378852,41.510429,9.381127,"20.3",1,"surface_transect","18:30","30",0.2,30,NA,"AMS",0,0,1,1,0,0,0,0,0,NA,41.507228,9.378852,41.510429,9.381127,NA,NA,NA,NA,NA,NA,NA,NA
"SPY222968","no","SPY222968/SPY222975",2023-06-24,"France","Pelagos","pelagos",NA,NA,"open_ocean",NA,NA,NA,NA,42.478141,7.815568,42.489025,7.790368,"2737",1,"surface_transect","11:26","30",0.2,30,NA,"WeAreMediterranee",0,1,1,1,1,0,0,0,0,"Rorqual + Mobula + Thon + Méduses",42.478141,7.815568,42.489025,7.790368,NA,NA,NA,NA,NA,NA,NA,NA
"SPY222971","no","SPY222971/SPY222976",2023-06-24,"France","Pelagos","pelagos",NA,NA,"open_ocean",NA,NA,NA,NA,42.178736,8.046073,42.193947,8.046011,"2672",1,"surface_transect","16:31","30",0.2,30,NA,"WeAreMediterranee",0,1,1,1,1,0,0,0,0,NA,42.178736,8.046073,42.193947,8.046011,NA,NA,NA,NA,NA,NA,NA,NA
"SPY222975","no","SPY222968/SPY222975",2023-06-24,"France","Pelagos","pelagos",NA,NA,"open_ocean",NA,NA,NA,NA,42.488061,7.79165,42.481949,7.799307,"2713",1,"surface_transect","12:04","30",0.2,30,NA,"WeAreMediterranee",0,1,1,1,1,0,0,0,0,"Rorqual",42.488061,7.79165,42.481949,7.799307,NA,NA,NA,NA,NA,NA,NA,NA
"SPY222976","no","SPY222971/SPY222976",2023-06-24,"France","Pelagos","pelagos",NA,NA,"open_ocean",NA,NA,NA,NA,42.192594,8.046616,42.176026,8.045337,"2750",1,"surface_transect","17:11","30",0.2,30,NA,"WeAreMediterranee",0,1,1,1,1,0,0,0,0,"Mobula",42.192594,8.046616,42.176026,8.045337,NA,NA,NA,NA,NA,NA,NA,NA
"SPY232071","no","SPY232071/SPY232086",2023-06-24,"France","Pelagos","pelagos",NA,NA,"offshore",NA,NA,NA,NA,41.88894,8.372757,41.904365,8.360424,"1760",1,"surface_transect","22:06","30",0.2,30,NA,"WeAreMediterranee",0,1,1,1,1,0,0,0,0,NA,41.88894,8.372757,41.904365,8.360424,NA,NA,NA,NA,NA,NA,NA,NA
"SPY232072","no","SPY232072/SPY232085",2023-06-12,"France","Pelagos","pelagos",NA,NA,"open_ocean",NA,NA,NA,NA,41.666992,10.088297,41.666641,10.103639,"920",1,"surface_transect","14:28","30",0.2,30,NA,"WeAreMediterranee",0,1,1,1,1,0,0,0,0,"Rorqual commun + Stenella coeruleoalba + Puffins cendré",41.666992,10.088297,41.666641,10.103639,NA,NA,NA,NA,NA,NA,NA,NA
"SPY232077","no","SPY232077/SPY232093",2023-06-13,"France","Pelagos","pelagos",NA,NA,"open_ocean",NA,NA,NA,NA,42.780505,9.76581,42.769349,9.778766,"570",1,"surface_transect","6:26","30",0.2,30,NA,"WeAreMediterranee",0,1,1,1,1,0,0,0,0,NA,42.780505,9.76581,42.769349,9.778766,NA,NA,NA,NA,NA,NA,NA,NA
"SPY232084","no","SPY232084/SPY232174",2023-05-13,"France","Pelagos","pelagos",NA,NA,"open_ocean",NA,NA,NA,NA,43.381844,7.841564,43.380772,7.819361,"2300",1,"surface_transect","16:02","30",0.2,30,NA,"WeAreMediterranee",0,1,1,1,1,0,0,0,0,NA,43.381844,7.841564,43.380772,7.819361,NA,NA,NA,NA,NA,NA,NA,NA
"SPY232085","no","SPY232072/SPY232085",2023-06-12,"France","Pelagos","pelagos",NA,NA,"open_ocean",NA,NA,NA,NA,41.665946,10.107907,41.665958,10.10785,"932",1,"surface_transect","15:12","30",0.2,30,NA,"WeAreMediterranee",0,1,1,1,1,0,0,0,0,NA,41.665946,10.107907,41.665958,10.10785,NA,NA,NA,NA,NA,NA,NA,NA
