"spygen_code","nb","Dicentrarchus labrax","Chromis chromis","Sciaena umbra","Sphyraena viridensis","Acanthurus coeruleus","Epigonus constanciae","Epigonus denticulatus","Polyprion americanus","Anguilla anguilla","Ariosoma balearicum","Conger conger","Enchelycore anatina","Muraena helena","Nemichthys scolopaceus","Facciolella oxyrhynchus","Dalophis imberbis","Echelus myrus","Ophichthus rufus","Ophisurus macrorhynchos","Argentina sphyraena","Nansenia boreacrassicauda","Atherina boyeri","Aulopus filamentosus","Chlorophthalmus agassizi","Arctozenus risso","Synodus saurus","Belone belone","Cololabis saira","Aidablennius sphynx","Blennius ocellaris","Lipophrys trigloides","Microlipophrys canevae","Parablennius gattorugine","Parablennius pilicornis","Parablennius rouxi","Salaria pavo","Scartella cristata","Lepadogaster candolii","Lepadogaster lepadogaster","Tripterygion delaisi","Tripterygion melanurus","Tripterygion tripteronotum","Capros aper","Naucrates ductor","Seriola dumerili","Seriola lalandi","Trachinotus ovatus","Trachurus picturatus","Coryphaena hippurus","Alosa fallax","Sardina pilchardus","Sardinella aurita","Sprattus sprattus","Encrasicholina punctifer","Engraulis encrasicolus","Cyprinus carpio","Gadiculus argenteus","Merlangius merlangus","Micromesistius poutassou","Gaidropsarus mediterraneus","Coelorinchus caelorhincus","Hymenocephalus italicus","Merluccius merluccius","Aphia minuta","Buenia affinis","Corcyrogobius liechtensteini","Crystallogobius linearis","Deltentosteus collonianus","Deltentosteus quadrimaculatus","Gammogobius steinitzi","Gobius ater","Gobius bucchichi","Gobius cobitis","Gobius cruentatus","Gobius geniporus","Gobius niger","Gobius paganellus","Gobius xanthocephalus","Pomatoschistus flavescens","Knipowitschia caucasica","Lebetus guilleti","Lesueurigobius friesii","Lesueurigobius suerii","Millerigobius macrocephalus","Odondebuenia balearica","Pomatoschistus microps","Pomatoschistus minutus","Pseudaphya ferreri","Silhouettea aegyptia","Speleogobius trigloides","Zebrus zebrus","Gobius ophiocephalus","Istiophorus platypterus","Xiphias gladius","Apogon imberbis","Coris julis","Ctenolabrus rupestris","Labrus mixtus","Sparisoma cretense","Symphodus bailloni","Centrolabrus melanocercus","Symphodus melops","Symphodus ocellatus","Symphodus tinca","Thalassoma pavo","Xyrichtys novacula","Trachipterus trachypterus","Zu cristatus","Lophius budegassa","Lophius litulon","Lophius piscatorius","Pomadasys incisus","Chelon auratus","Chelon labrosus","Chelon ramada","Chelon richardsonii","Mugil capurrii","Mugil cephalus","Oedalechilus labeo","Planiliza macrolepis","Benthosema glaciale","Bolinichthys supralateralis","Ceratoscopelus maderensis","Diaphus anderseni","Diaphus holti","Diaphus rafinesquii","Lampanyctus crocodilus","Lampanyctus pusillus","Lobianchia dofleini","Myctophum punctatum","Johnius belangerii","Larimichthys crocea","Umbrina cirrosa","Notacanthus chemnitzii","Cataetyx rubrirostris","Carapus acus","Peristedion cataphractum","Scorpaena elongata","Scorpaena notata","Scorpaena porcus","Scorpaena scrofa","Helicolenus dactylopterus","Anthias anthias","Epinephelus aeneus","Epinephelus costae","Epinephelus malabaricus","Epinephelus marginatus","Mycteroperca rubra","Serranus cabrilla","Serranus hepatus","Serranus scriba","Echiichthys vipera","Trachinus araneus","Trachinus draco","Trachinus radiatus","Chelidonichthys cuculus","Trigla lyra","Arnoglossus imperialis","Arnoglossus laterna","Arnoglossus thori","Bothus podas","Citharus linguatula","Cynoglossus senegalensis","Pleuronectes platessa","Lepidorhombus boscii","Lepidorhombus whiffiagonis","Scophthalmus maximus","Scophthalmus rhombus","Buglossidium luteum","Pegusa lascaris","Pegusa nasuta","Solea senegalensis","Solea solea","Cepola macrophthalma","Salmo salar","Brama brama","Centrolophus niger","Schedophilus medusophagus","Schedophilus ovalis","Psenes pellucidus","Pomatomus saltatrix","Acanthocybium solandri","Euthynnus affinis","Euthynnus alletteratus","Katsuwonus pelamis","Sarda sarda","Scomber colias","Scomber scombrus","Thunnus thynnus","Tetragonurus cuvieri","Lepidopus caudatus","Trichiurus lepturus","Spicara maena","Spicara smaris","Boops boops","Diplodus annularis","Diplodus cervinus","Diplodus puntazzo","Diplodus sargus","Diplodus vulgaris","Lithognathus mormyrus","Oblada melanurus","Pagellus acarne","Pagellus bogaraveo","Pagellus erythrinus","Sarpa salpa","Sparus aurata","Spondyliosoma cantharus","Vinciguerria nimbaria","Argyropelecus hemigymnus","Maurolicus muelleri","Borostomias antarcticus","Chauliodus sloani","Stomias boa","Callionymus maculatus","Synchiropus phaeton","Macroramphosus scolopax","Dactylopterus volitans","Mullus barbatus","Mullus surmuletus","Hippocampus guttulatus","Hippocampus hippocampus","Nerophis maculatus","Nerophis ophidion","Syngnathus acus","Balistes capriscus","Mola mola","Hoplostethus mediterraneus","Gymnammodytes semisquamatus","Hyperoplus lanceolatus","Uranoscopus scaber","Zeus faber","Prionace glauca","Galeus melastomus","Scyliorhinus canicula","Scyliorhinus stellaris","Galeorhinus galeus","Mustelus mustelus","Hexanchus griseus","Alopias superciliosus","Alopias vulpinus","Cetorhinus maximus","Isurus oxyrinchus","Dasyatis marmorata","Dasyatis pastinaca","Dasyatis tortonesei","Pteroplatytrygon violacea","Aetomylaeus bovinus","Mobula mobular","Myliobatis aquila","Squatina squatina","Dipturus oxyrinchus","Leucoraja naevus","Raja brachyura","Raja miraletus","Raja radula","Raja undulata","Rostroraja alba","Centrophorus squamosus","Etmopterus spinax","Squalus acanthias","Squalus blainville","Torpedo marmorata"
"SPY180624","nb_rep",5,9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,2,1,0,2,0,0,12,1,1,2,11,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,7,1,5,0,0,0,0,0,0,0,1,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,12,2,0,1,12,11,0,12,0,0,2,11,5,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPY180624","nb_seq",7238,27013,220,155,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,2617,0,4903,1130,955,0,4836,0,0,30214,720,5419,964,21942,0,0,0,0,0,0,0,0,8975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,35,472,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,554,0,2519,0,0,0,0,0,0,9142,1561,11700,0,0,0,0,0,0,0,213,3352,0,0,0,0,6791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,1764,0,5008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,1030,0,182,0,0,0,0,513,50092,996,0,1668,36927,9424,0,116745,0,0,3020,7787,4650,369,0,0,0,0,0,0,0,0,0,0,0,2134,0,0,14,0,0,0,0,0,798,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPY181146","nb_rep",3,11,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,1,0,0,0,0,1,2,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,12,5,0,0,12,9,3,12,0,0,0,11,6,4,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SPY181146","nb_seq",3804,20232,0,152,0,0,0,0,0,0,0,0,4665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1381,0,9945,0,699,0,0,0,0,1428,499,0,0,19340,0,0,0,0,0,0,0,0,28776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2855,0,528,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,733,0,0,0,0,7489,0,0,0,0,0,0,11208,12462,4550,0,0,0,0,0,0,0,0,1280,0,0,0,0,2050,0,0,0,0,0,0,0,2029,0,0,0,0,0,0,0,0,0,0,0,0,1420,0,0,0,0,0,0,0,0,2467,0,3132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10003,0,0,0,714,0,0,0,99176,4086,0,0,38204,16286,2099,190233,0,0,0,30539,8371,10402,0,0,0,0,0,0,0,0,0,0,274,1553,0,0,0,0,0,0,249,0,0,0,756,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591
"SPY181147","nb_rep",2,11,6,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,1,2,7,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,7,0,0,0,0,0,0,12,4,1,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,3,0,0,1,11,9,0,11,0,1,0,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPY181147","nb_seq",336,37470,7221,139,0,0,0,0,0,0,4863,0,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15030,0,0,0,0,0,0,730,0,2526,4094,2870,0,0,0,0,0,0,0,0,32849,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,6290,8385,15739,0,0,0,0,0,0,29886,17196,1203,0,0,0,0,0,0,0,0,4080,0,0,0,0,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7490,0,0,0,0,0,0,0,1493,0,3940,0,3127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,0,0,0,0,0,9595,3999,2324,0,0,997,27194,16666,0,41890,0,129,0,47036,4725,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPY181148","nb_rep",0,9,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,12,0,1,0,0,0,0,0,1,2,1,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,8,0,0,0,0,0,0,10,1,2,1,0,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,3,12,12,2,12,0,0,1,12,12,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SPY181148","nb_seq",0,6623,1002,45,0,0,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,3534,0,17439,0,2034,0,0,0,0,0,175,1408,728,10343,0,0,0,0,0,0,0,0,10804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,253,0,355,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,600,8404,0,0,0,0,0,0,10008,796,762,454,0,0,0,0,0,0,0,3177,0,0,0,0,10710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4319,2667,0,2579,46059,13797,226,11003,0,0,253,32226,19340,572,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
"SPY181149","nb_rep",0,12,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,2,0,4,1,11,0,0,2,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,11,0,0,0,0,0,0,8,10,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,4,0,1,12,9,0,12,0,0,1,12,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SPY181149","nb_seq",0,44527,5473,1241,0,0,0,0,0,0,0,0,3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20658,0,5216,0,0,0,0,1470,0,4864,28,19454,0,0,268,0,0,0,0,0,51029,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368,0,0,0,0,0,0,739,0,0,0,0,0,0,0,0,0,0,0,0,839,0,0,0,7650,18345,0,0,0,0,0,0,18370,23640,2504,0,0,0,0,0,0,0,0,6735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5343,0,2043,0,8163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507,0,0,0,0,0,1756,0,11270,7895,0,262,72833,9357,0,53487,0,0,2631,38206,5331,4148,0,0,0,0,0,0,0,0,0,0,0,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612
